respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.0806712023544179,0.25894776772567885
26708,0.05310145364911017,0.07775779043384805
26709,0.43991135126938474,0.6399403919867585
26710,0.49082272279224737,0.8739868657428933
26711,0.15841732079250626,0.4436893532576413
26712,0.3939627399699793,0.8863277118675824
26713,0.384730529504005,0.5994137476463929
26714,0.13390171954932342,0.18494539897859405
26715,0.036505650299130034,0.12861291605614095
26716,0.18887560650318985,0.8568283796767673
26717,0.01500978523979476,0.3477360369218314
26718,0.20909166017123199,0.4223540339019307
26719,0.10575454426687565,0.9310732175680495
26720,0.08938383771326695,0.19522054906485065
26721,0.42293552572298576,0.5434765397388048
26722,0.04471596779638402,0.06542111065842347
26723,0.6379649621542406,0.8336797665794712
26724,0.11103045820160778,0.5918743499369721
26725,0.03859854206572591,0.07758174805241361
26726,0.013175991594977638,0.036535355317427125
26727,0.30957678946517847,0.8167039167689066
26728,0.19592450404039327,0.4628781425342566
26729,0.07734280560607552,0.31529577784884083
26730,0.047269712857768674,0.23034054238026247
26731,0.017144456193157256,0.3420720459407721
26732,0.08511811827207283,0.049687713119709764
26733,0.9207537067467002,0.9515003438425393
26734,0.8652701710853927,0.39482099935839365
26735,0.13811953194514637,0.37649940466011594
26736,0.08030503265636932,0.2023063250749427
26737,0.0786673631130643,0.10241627121219626
26738,0.5837465737535421,0.8504324915448411
26739,0.09287802736562407,0.17740934348806514
26740,0.1617946726912989,0.1318649267621993
26741,0.20394834545095575,0.9088035363661914
26742,0.1497736563097258,0.42426786485818935
26743,0.03554800084335442,0.45628400181663287
26744,0.04788504928018078,0.5275546496473001
26745,0.09347185094288525,0.9170615000149328
26746,0.11375549614837677,0.249121168286969
26747,0.09287654744152414,0.32673806893257923
26748,0.11730324720869384,0.07934587431592911
26749,0.0644326234283589,0.646027422355358
26750,0.6891738031579979,0.9283201203595286
26751,0.2962471983099497,0.634947123276883
26752,0.01920373695553681,0.017164756562019254
26753,0.19887813367246646,0.6094774594089603
26754,0.10384043541801953,0.4703660896625955
26755,0.09963190019553574,0.285721057169719
26756,0.01578799834328392,0.03823848629790726
26757,0.4843393729957539,0.5428355884829104
26758,0.48702086009210394,0.7936723041746431
26759,0.0379163266916915,0.18360826003867337
26760,0.010198147726165068,0.018019396933297946
26761,0.13306612170127677,0.6283768212181697
26762,0.15794636997554795,0.8188125584287466
26763,0.9030845999325359,0.96712608199259
26764,0.9193655081468965,0.9639906494849573
